hospitalID,nursesCommunicateWell,doctorsCommunicateWell,receivedImmediateHelp,painManagedByTreatment,staffExplainedMedications,bathroomsAlwaysClean,givenInformationAboutRecovery,rateHospitalPositively
140032,0.77,0.81,0.64,0.68,0.62,0.72,0.85,0.66
140033,,,,,,,,
140034,0.87,0.87,0.82,0.75,0.72,0.89,0.90,0.78
140040,0.78,0.84,0.60,0.70,0.60,0.65,0.88,0.67
140043,0.81,0.82,0.72,0.70,0.69,0.85,0.88,0.75
140046,0.82,0.82,0.74,0.75,0.64,0.82,0.87,0.72
140048,0.81,0.79,0.65,0.72,0.65,0.74,0.81,0.65
140049,0.74,0.82,0.58,0.67,0.60,0.60,0.85,0.60
140051,0.76,0.80,0.63,0.63,0.60,0.72,0.82,0.64
140052,0.80,0.81,0.62,0.72,0.63,0.74,0.87,0.73
140053,0.78,0.79,0.66,0.68,0.62,0.71,0.85,0.70
140054,0.77,0.80,0.63,0.70,0.59,0.66,0.85,0.68
140058,0.81,0.81,0.68,0.71,0.63,0.77,0.86,0.72
140059,0.78,0.81,0.75,0.71,0.66,0.84,0.79,0.70
140062,0.77,0.81,0.62,0.72,0.58,0.68,0.81,0.63
140063,0.82,0.82,0.71,0.73,0.68,0.72,0.80,0.72
140064,0.82,0.86,0.76,0.73,0.73,0.79,0.90,0.78
140065,0.82,0.82,0.74,0.74,0.64,0.77,0.87,0.77
140067,0.81,0.80,0.64,0.72,0.64,0.74,0.89,0.74
140068,0.64,0.68,0.40,0.54,0.48,0.65,0.65,0.44
140077,0.78,0.85,0.68,0.75,0.60,0.72,0.82,0.62
140080,0.76,0.80,0.59,0.67,0.58,0.70,0.81,0.71
140082,0.71,0.78,0.55,0.64,0.57,0.64,0.83,0.60
140083,0.65,0.73,0.51,0.55,0.49,0.67,0.65,0.47
140084,0.72,0.79,0.58,0.66,0.58,0.67,0.83,0.59
140088,0.70,0.81,0.52,0.65,0.57,0.59,0.84,0.64
140089,0.85,0.83,0.74,0.71,0.68,0.83,0.91,0.69
140091,0.80,0.79,0.62,0.73,0.60,0.66,0.83,0.72
140093,0.82,0.82,0.67,0.75,0.66,0.73,0.89,0.72
140095,0.72,0.79,0.58,0.64,0.50,0.70,0.80,0.66
140100,0.85,0.85,0.74,0.78,0.72,0.78,0.92,0.91
140101,0.83,0.83,0.74,0.72,0.70,0.74,0.89,0.79
140103,0.62,0.73,0.44,0.61,0.56,0.64,0.71,0.44
140110,0.83,0.80,0.73,0.72,0.69,0.81,0.86,0.68
140113,0.78,0.80,0.63,0.67,0.62,0.68,0.86,0.68
140114,0.74,0.78,0.64,0.70,0.56,0.72,0.80,0.61
140115,0.73,0.79,0.52,0.57,0.60,0.67,0.82,0.53
140116,0.78,0.78,0.70,0.70,0.62,0.73,0.88,0.66
140117,0.78,0.80,0.63,0.72,0.63,0.72,0.86,0.65
140118,0.77,0.81,0.64,0.72,0.63,0.72,0.85,0.68
140119,0.81,0.80,0.66,0.72,0.66,0.75,0.87,0.81
140120,0.75,0.82,0.62,0.66,0.60,0.71,0.87,0.62
140122,0.80,0.83,0.68,0.73,0.62,0.77,0.85,0.77
140124,0.66,0.80,0.55,0.64,0.52,0.50,0.77,0.54
140125,0.77,0.79,0.63,0.68,0.62,0.67,0.85,0.63
140127,0.82,0.82,0.66,0.71,0.63,0.77,0.87,0.76
140130,0.72,0.81,0.59,0.66,0.58,0.73,0.81,0.66
140133,0.71,0.75,0.59,0.63,0.59,0.67,0.81,0.52
140135,0.77,0.83,0.60,0.68,0.65,0.68,0.88,0.69
140137,0.82,0.84,0.67,0.72,0.68,0.76,0.87,0.78
140143,0.82,0.86,0.72,0.72,0.68,0.79,0.89,0.72
140145,0.91,0.87,0.85,0.81,0.82,0.91,0.92,0.87
140147,0.82,0.87,0.74,0.75,0.65,0.72,0.92,0.75
140148,0.81,0.81,0.65,0.71,0.66,0.69,0.84,0.75
140150,0.71,0.77,0.53,0.61,0.55,0.63,0.81,0.58
140155,0.83,0.85,0.71,0.76,0.66,0.78,0.89,0.76
140158,0.76,0.83,0.59,0.69,0.56,0.72,0.81,0.67
140160,0.78,0.79,0.64,0.70,0.63,0.73,0.86,0.69
140161,0.86,0.85,0.78,0.77,0.76,0.81,0.91,0.78
140162,0.83,0.85,0.68,0.73,0.67,0.81,0.87,0.79
140164,0.82,0.82,0.68,0.70,0.64,0.75,0.88,0.73
140166,0.76,0.78,0.58,0.65,0.57,0.71,0.82,0.70
140167,0.79,0.84,0.68,0.68,0.67,0.82,0.91,0.71
140172,0.73,0.76,0.58,0.64,0.57,0.69,0.80,0.58
140174,0.78,0.79,0.59,0.73,0.61,0.70,0.86,0.67
140176,0.80,0.81,0.70,0.73,0.65,0.78,0.89,0.68
140177,0.60,0.69,0.41,0.54,0.45,0.51,0.66,0.37
140179,0.81,0.83,0.67,0.75,0.63,0.70,0.84,0.74
140180,0.77,0.79,0.60,0.67,0.58,0.61,0.81,0.68
140181,0.69,0.74,0.40,0.61,0.56,0.65,0.73,0.47
140182,0.79,0.79,0.68,0.70,0.65,0.76,0.86,0.71
140184,0.74,0.81,0.61,0.66,0.60,0.67,0.84,0.64
140185,0.82,0.80,0.69,0.75,0.65,0.73,0.87,0.73
140186,0.79,0.79,0.67,0.71,0.63,0.70,0.86,0.74
140187,0.80,0.80,0.66,0.71,0.63,0.70,0.86,0.68
140189,0.84,0.87,0.71,0.71,0.68,0.74,0.90,0.76
140191,0.75,0.77,0.55,0.64,0.61,0.66,0.86,0.62
140197,0.69,0.72,0.78,0.78,0.65,0.66,0.85,0.68
140200,0.78,0.79,0.61,0.69,0.61,0.73,0.85,0.76
140202,0.79,0.78,0.65,0.70,0.61,0.81,0.84,0.72
140206,0.58,0.73,0.47,0.50,0.46,0.56,0.76,0.47
140208,0.82,0.80,0.69,0.73,0.65,0.71,0.87,0.72
140209,0.81,0.81,0.70,0.73,0.65,0.75,0.87,0.75
140210,0.83,0.82,0.79,0.69,0.70,0.79,0.79,0.62
140211,0.80,0.76,0.66,0.68,0.61,0.68,0.88,0.73
140213,0.78,0.80,0.67,0.71,0.63,0.78,0.83,0.77
140217,0.76,0.80,0.57,0.69,0.59,0.75,0.87,0.68
140223,0.80,0.80,0.66,0.73,0.65,0.78,0.87,0.78
140224,0.76,0.78,0.61,0.64,0.60,0.67,0.85,0.69
140228,0.79,0.79,0.68,0.72,0.64,0.72,0.87,0.74
140231,0.80,0.82,0.62,0.75,0.61,0.71,0.81,0.76
140233,0.80,0.81,0.64,0.72,0.64,0.72,0.85,0.71
140234,0.84,0.84,0.76,0.74,0.68,0.79,0.86,0.74
140239,0.76,0.77,0.60,0.68,0.59,0.68,0.82,0.68
140240,0.70,0.78,0.55,0.68,0.58,0.61,0.82,0.61
140242,0.80,0.81,0.64,0.75,0.66,0.75,0.88,0.83
140250,0.80,0.80,0.64,0.73,0.64,0.67,0.82,0.67
140251,0.76,0.79,0.61,0.68,0.58,0.74,0.82,0.63
140252,0.77,0.76,0.65,0.72,0.63,0.77,0.84,0.74
140258,0.79,0.81,0.64,0.72,0.61,0.74,0.86,0.73
140275,0.79,0.80,0.67,0.71,0.63,0.72,0.86,0.70
140276,0.76,0.79,0.62,0.69,0.61,0.63,0.85,0.69
140280,0.78,0.77,0.57,0.71,0.59,0.70,0.87,0.68
140281,0.75,0.79,0.58,0.69,0.60,0.60,0.79,0.74
140286,0.78,0.82,0.61,0.71,0.60,0.71,0.90,0.73
140288,0.81,0.81,0.71,0.73,0.65,0.73,0.87,0.72
140289,0.79,0.83,0.69,0.72,0.63,0.73,0.87,0.70
140290,0.80,0.80,0.69,0.71,0.67,0.66,0.88,0.69
140291,0.81,0.81,0.64,0.71,0.65,0.69,0.89,0.71
140292,0.81,0.75,0.67,0.70,0.62,0.72,0.82,0.58
140294,0.80,0.86,0.72,0.73,0.66,0.76,0.88,0.70
140300,0.80,0.85,0.63,0.73,0.62,0.72,0.79,0.64
140304,0.79,0.79,0.63,0.72,0.63,0.77,0.83,0.71
141300,,,,,,,,
141301,,,,,,,,
141302,,,,,,,,
141303,,,,,,,,
141304,,,,,,,,
141305,,,,,,,,
141306,,,,,,,,
141307,0.89,0.90,0.76,0.77,0.68,0.85,0.94,0.70
141309,,,,,,,,
141310,0.86,0.86,0.77,0.73,0.71,0.87,0.91,0.82
141311,,,,,,,,
141312,0.88,0.88,0.83,0.80,0.70,0.90,0.93,0.78
141313,0.88,0.89,0.87,0.74,0.77,0.80,0.93,0.91
141315,0.90,0.81,0.80,0.84,0.68,0.88,0.94,0.73
141316,,,,,,,,
141317,0.84,0.87,0.78,0.76,0.70,0.77,0.91,0.86
141318,0.92,0.92,0.87,0.81,0.81,0.93,0.90,0.86
141319,0.85,0.90,0.79,0.77,0.73,0.74,0.88,0.80
141320,0.82,0.84,0.61,0.71,0.68,0.79,0.87,0.71
141322,0.84,0.90,0.71,0.69,0.71,0.85,0.91,0.81
141323,0.82,0.85,0.80,0.73,0.61,0.88,0.87,0.77
141324,,,,,,,,
141325,0.81,0.84,0.73,0.64,0.60,0.75,0.88,0.69
141326,,,,,,,,
141327,,,,,,,,
141328,,,,,,,,
141329,0.73,0.72,0.77,0.80,0.54,0.83,0.89,0.65
141330,,,,,,,,
141331,,,,,,,,
141332,0.90,0.94,0.86,0.88,0.69,0.90,0.90,0.78
141333,,,,,,,,
141334,0.86,0.84,0.83,0.82,0.70,0.83,0.84,0.86
141335,,,,,,,,
141336,0.82,0.89,0.76,0.73,0.64,0.77,0.86,0.72
141337,,,,,,,,
141338,,,,,,,,
141339,0.85,0.90,0.71,0.73,0.69,0.81,0.82,0.79
141340,0.82,0.86,0.73,0.73,0.69,0.70,0.88,0.78
141341,,,,,,,,
141342,0.83,0.91,0.78,0.77,0.73,0.65,0.90,0.69
141343,0.87,0.89,0.77,0.79,0.76,0.86,0.89,0.76
141344,,,,,,,,
141345,0.87,0.90,0.81,0.72,0.67,0.85,0.85,0.77
141346,,,,,,,,
141347,0.83,0.80,0.74,0.72,0.68,0.96,0.83,0.82
141348,0.84,0.86,0.62,0.71,0.70,0.75,0.91,0.72
141349,0.83,0.75,0.76,0.75,0.71,0.79,0.91,0.66
141350,0.83,0.87,0.74,0.76,0.66,0.86,0.85,0.76
141351,0.82,0.82,0.77,0.77,0.68,0.82,0.90,0.74
150001,0.83,0.86,0.74,0.72,0.67,0.80,0.89,0.77
150002,0.83,0.78,0.69,0.77,0.62,0.72,0.82,0.71
150003,0.78,0.74,0.65,0.68,0.58,0.72,0.82,0.64
150004,0.75,0.73,0.60,0.69,0.60,0.76,0.79,0.62
150005,0.82,0.86,0.67,0.73,0.66,0.78,0.89,0.83
150006,0.79,0.74,0.71,0.70,0.62,0.67,0.84,0.68
150007,0.81,0.80,0.68,0.69,0.62,0.76,0.85,0.67
150008,0.82,0.80,0.70,0.73,0.67,0.74,0.84,0.73
150009,0.80,0.80,0.69,0.70,0.59,0.75,0.80,0.67
150010,0.78,0.83,0.62,0.71,0.66,0.70,0.88,0.77
150011,0.83,0.83,0.72,0.76,0.66,0.73,0.85,0.71
150012,0.77,0.79,0.63,0.69,0.58,0.72,0.86,0.77
150015,0.81,0.81,0.71,0.75,0.64,0.76,0.86,0.71
150017,0.79,0.77,0.67,0.73,0.59,0.68,0.87,0.75
150018,0.77,0.76,0.66,0.70,0.59,0.75,0.85,0.69
150021,0.79,0.77,0.67,0.73,0.56,0.73,0.87,0.76
150022,0.85,0.83,0.79,0.76,0.68,0.82,0.89,0.71
150023,0.76,0.75,0.63,0.64,0.59,0.73,0.89,0.74
150024,0.77,0.81,0.64,0.73,0.67,0.67,0.85,0.72
150026,0.80,0.81,0.72,0.72,0.64,0.76,0.87,0.76
150030,0.83,0.82,0.68,0.74,0.67,0.79,0.88,0.76
150034,0.82,0.82,0.66,0.73,0.64,0.77,0.86,0.77
150035,0.77,0.79,0.58,0.69,0.56,0.73,0.85,0.72
150037,0.84,0.82,0.68,0.74,0.66,0.76,0.88,0.79
150038,0.81,0.85,0.70,0.75,0.57,0.74,0.83,0.64
150042,0.88,0.88,0.77,0.78,0.69,0.89,0.90,0.81
150044,0.84,0.86,0.75,0.77,0.66,0.79,0.86,0.81
150045,0.81,0.87,0.72,0.72,0.67,0.70,0.90,0.73
150046,0.78,0.80,0.66,0.72,0.62,0.78,0.87,0.74
150047,0.77,0.80,0.67,0.71,0.60,0.71,0.85,0.66
150048,0.78,0.81,0.67,0.70,0.66,0.80,0.89,0.72
150051,0.79,0.81,0.68,0.71,0.63,0.69,0.87,0.70
150056,0.78,0.79,0.61,0.69,0.64,0.71,0.87,0.75
150057,0.82,0.85,0.67,0.75,0.68,0.82,0.91,0.82
150058,0.80,0.80,0.71,0.68,0.62,0.71,0.87,0.73
150059,0.78,0.84,0.61,0.70,0.64,0.70,0.87,0.72
150061,0.78,0.79,0.72,0.70,0.63,0.65,0.87,0.64
150064,0.83,0.81,0.78,0.75,0.69,0.79,0.88,0.75
150065,0.87,0.88,0.75,0.81,0.68,0.83,0.88,0.79
150069,0.78,0.86,0.66,0.68,0.63,0.75,0.87,0.64
150072,0.78,0.85,0.66,0.73,0.58,0.72,0.80,0.62
150074,0.75,0.76,0.66,0.70,0.59,0.73,0.84,0.69
150075,0.83,0.80,0.70,0.72,0.64,0.82,0.88,0.76
150076,0.80,0.79,0.70,0.75,0.58,0.72,0.87,0.73
150082,0.82,0.82,0.66,0.70,0.63,0.73,0.84,0.76
150084,0.77,0.82,0.61,0.69,0.59,0.60,0.83,0.78
150086,0.81,0.81,0.72,0.73,0.64,0.85,0.88,0.70
150088,0.80,0.82,0.65,0.72,0.57,0.72,0.89,0.70
150089,0.80,0.80,0.64,0.74,0.64,0.74,0.84,0.69
150090,0.80,0.81,0.71,0.68,0.64,0.76,0.81,0.68
150091,0.82,0.83,0.73,0.77,0.63,0.71,0.91,0.76
150097,0.82,0.84,0.75,0.74,0.66,0.82,0.88,0.75
150100,0.79,0.80,0.64,0.70,0.61,0.75,0.89,0.76
150101,0.83,0.84,0.76,0.76,0.66,0.78,0.87,0.81
150102,0.75,0.72,0.75,0.65,0.64,0.77,0.82,0.61
150104,0.80,0.83,0.63,0.69,0.64,0.79,0.84,0.75
150109,0.79,0.78,0.66,0.72,0.62,0.75,0.89,0.74
150112,0.80,0.81,0.68,0.72,0.62,0.76,0.88,0.70
150113,0.80,0.82,0.68,0.71,0.63,0.71,0.84,0.75
150115,0.84,0.86,0.74,0.74,0.71,0.85,0.86,0.80
150125,0.84,0.80,0.73,0.75,0.66,0.78,0.86,0.79
150126,0.77,0.78,0.58,0.71,0.60,0.72,0.82,0.70
150128,0.78,0.78,0.63,0.68,0.58,0.72,0.84,0.76
150129,0.72,0.81,0.58,0.63,0.58,0.63,0.87,0.62
150133,0.77,0.83,0.63,0.70,0.66,0.72,0.87,0.71
150146,0.82,0.87,0.75,0.74,0.64,0.81,0.90,0.81
150149,0.84,0.84,0.67,0.74,0.64,0.82,0.88,0.85
150150,0.80,0.83,0.71,0.74,0.62,0.66,0.89,0.79
150153,0.84,0.86,0.77,0.77,0.67,0.74,0.86,0.85
150154,0.86,0.84,0.77,0.80,0.70,0.78,0.87,0.86
150157,0.77,0.84,0.63,0.75,0.62,0.63,0.85,0.80
150158,0.78,0.81,0.61,0.69,0.65,0.72,0.86,0.79
150160,0.91,0.88,0.84,0.80,0.76,0.89,0.93,0.90
150161,0.83,0.82,0.70,0.77,0.64,0.83,0.88,0.85
150162,0.80,0.80,0.70,0.73,0.62,0.74,0.86,0.78
150163,0.73,0.78,0.52,0.65,0.48,0.75,0.59,0.38
150164,0.79,0.84,0.66,0.72,0.60,0.81,0.82,0.76
150165,0.85,0.83,0.73,0.73,0.63,0.74,0.86,0.75
150166,0.78,0.84,0.71,0.65,0.60,0.70,0.82,0.73
150167,0.82,0.86,0.74,0.70,0.64,0.80,0.92,0.81
150168,0.80,0.85,0.72,0.72,0.65,0.71,0.91,0.81
150169,0.76,0.77,0.56,0.71,0.59,0.72,0.85,0.77
150172,0.84,0.83,0.87,0.78,0.73,0.81,0.84,0.86
150173,0.77,0.76,0.61,0.69,0.56,0.65,0.86,0.74
150175,0.84,0.85,0.78,0.78,0.65,0.69,0.88,0.88
150176,0.87,0.86,0.78,0.80,0.64,0.83,0.82,0.84
150177,0.79,0.78,0.68,0.72,0.57,0.75,0.85,0.77
150179,,,,,,,,
150180,,,,,,,,
150181,,,,,,,,
150182,,,,,,,,
151300,,,,,,,,
151301,0.81,0.86,0.71,0.70,0.74,0.71,0.90,0.73
151302,0.84,0.87,0.66,0.70,0.63,0.90,0.91,0.77
151303,0.82,0.86,0.80,0.78,0.80,0.87,0.85,0.75
151304,0.81,0.84,0.75,0.76,0.65,0.79,0.80,0.63
151305,0.87,0.84,0.85,0.75,0.68,0.78,0.91,0.78
151306,0.79,0.84,0.71,0.75,0.62,0.74,0.89,0.67
151307,0.82,0.88,0.82,0.73,0.57,0.76,0.85,0.76
151308,0.78,0.85,0.73,0.80,0.60,0.66,0.84,0.71
151309,0.80,0.88,0.61,0.69,0.69,0.70,0.86,0.67
151310,0.84,0.84,0.83,0.70,0.69,0.83,0.83,0.73
151311,0.84,0.89,0.70,0.74,0.70,0.85,0.85,0.84
151312,0.78,0.83,0.71,0.66,0.62,0.81,0.82,0.75
151313,,,,,,,,
151314,0.83,0.82,0.74,0.78,0.66,0.75,0.86,0.61
151315,0.83,0.81,0.81,0.77,0.62,0.79,0.88,0.69
151316,0.81,0.86,0.72,0.74,0.64,0.72,0.88,0.74
151317,,,,,,,,
151318,0.78,0.84,0.67,0.74,0.61,0.72,0.85,0.64
151319,0.84,0.85,0.78,0.82,0.69,0.79,0.87,0.73
151320,0.83,0.85,0.77,0.74,0.60,0.73,0.83,0.77
151322,0.85,0.83,0.83,0.77,0.73,0.84,0.87,0.70
151323,0.82,0.83,0.78,0.76,0.66,0.84,0.88,0.80
151324,,,,,,,,
151325,,,,,,,,
151326,0.87,0.86,0.74,0.80,0.65,0.74,0.90,0.83
151327,0.81,0.87,0.74,0.73,0.72,0.78,0.88,0.74
151328,0.84,0.90,0.75,0.75,0.67,0.80,0.89,0.80
151329,0.87,0.89,0.75,0.81,0.69,0.82,0.87,0.81
151330,0.82,0.82,0.72,0.72,0.63,0.87,0.87,0.72
151331,0.83,0.88,0.75,0.71,0.70,0.82,0.85,0.76
151332,0.83,0.83,0.75,0.79,0.72,0.80,0.90,0.73
151333,0.78,0.82,0.72,0.65,0.57,0.67,0.89,0.58
151334,0.85,0.85,0.78,0.75,0.77,0.83,0.87,0.71
151335,0.79,0.83,0.72,0.72,0.65,0.84,0.86,0.73
160001,0.78,0.79,0.66,0.69,0.61,0.75,0.85,0.69
160005,0.79,0.83,0.69,0.71,0.63,0.77,0.86,0.75
160008,0.81,0.84,0.69,0.73,0.70,0.83,0.86,0.77
160013,0.81,0.85,0.73,0.73,0.64,0.77,0.85,0.64
160016,0.82,0.80,0.72,0.72,0.62,0.80,0.91,0.74
160024,0.79,0.76,0.62,0.68,0.63,0.69,0.87,0.73
160028,0.77,0.79,0.60,0.70,0.62,0.70,0.87,0.72
160029,0.78,0.87,0.65,0.68,0.62,0.69,0.88,0.72
160030,0.82,0.84,0.65,0.76,0.67,0.75,0.88,0.80
160032,0.80,0.86,0.70,0.69,0.69,0.67,0.87,0.75
160033,0.78,0.78,0.65,0.70,0.64,0.75,0.85,0.70
160040,0.78,0.81,0.57,0.67,0.60,0.72,0.80,0.74
160045,0.78,0.76,0.68,0.70,0.62,0.75,0.89,0.76
160047,0.78,0.85,0.67,0.73,0.68,0.68,0.91,0.74
160057,0.78,0.82,0.65,0.68,0.66,0.74,0.85,0.71
160058,0.77,0.79,0.60,0.69,0.61,0.67,0.90,0.72
160064,0.78,0.76,0.63,0.66,0.60,0.71,0.91,0.69
160067,0.75,0.78,0.64,0.68,0.63,0.79,0.83,0.69
160069,0.80,0.82,0.67,0.72,0.66,0.72,0.91,0.79
160079,0.80,0.81,0.62,0.71,0.63,0.75,0.87,0.78
160080,0.81,0.79,0.64,0.69,0.64,0.70,0.87,0.70
160082,0.77,0.80,0.61,0.68,0.61,0.73,0.86,0.75
160083,0.75,0.76,0.55,0.66,0.63,0.68,0.86,0.67
160089,0.69,0.75,0.55,0.61,0.52,0.74,0.77,0.48
160101,0.73,0.78,0.60,0.64,0.62,0.69,0.83,0.62
160104,0.77,0.78,0.67,0.66,0.64,0.78,0.87,0.76
160110,0.73,0.76,0.57,0.63,0.56,0.69,0.90,0.65
160112,0.81,0.82,0.73,0.71,0.68,0.82,0.89,0.76
160117,0.81,0.83,0.68,0.70,0.67,0.74,0.91,0.75
160122,0.82,0.83,0.67,0.69,0.62,0.79,0.90,0.76
160124,0.80,0.85,0.69,0.69,0.68,0.78,0.90,0.77
160146,0.77,0.77,0.61,0.69,0.59,0.70,0.86,0.70
160147,0.86,0.85,0.75,0.79,0.71,0.88,0.89,0.77
160153,0.75,0.79,0.61,0.69,0.61,0.69,0.87,0.71
161300,,,,,,,,
161301,0.87,0.92,0.85,0.72,0.71,0.87,0.83,0.89
161302,0.84,0.87,0.74,0.76,0.69,0.85,0.88,0.81
161303,0.90,0.86,0.83,0.76,0.75,0.94,0.90,0.89
161304,0.87,0.83,0.83,0.75,0.64,0.80,0.93,0.89
161306,,,,,,,,
161307,,,,,,,,
161308,,,,,,,,
161309,0.84,0.89,0.76,0.69,0.61,0.81,0.95,0.81
161310,,,,,,,,
161311,0.90,0.84,0.90,0.92,0.70,0.84,0.91,0.67
161312,0.92,0.91,0.82,0.79,0.84,0.93,0.88,0.89
161313,,,,,,,,
161316,,,,,,,,
161317,,,,,,,,
161318,,,,,,,,
161319,,,,,,,,
161320,,,,,,,,
161321,0.83,0.89,0.86,0.77,0.62,0.87,0.78,0.76
161322,0.87,0.85,0.81,0.79,0.71,0.83,0.80,0.83
161325,,,,,,,,
161326,0.83,0.87,0.69,0.75,0.77,0.77,0.91,0.86
161327,0.80,0.83,0.77,0.64,0.54,0.80,0.90,0.70
161328,,,,,,,,
161329,,,,,,,,
161330,0.97,0.98,0.88,0.86,0.91,0.99,0.94,0.89
161331,,,,,,,,
161332,,,,,,,,
161333,0.80,0.91,0.65,0.62,0.75,0.78,0.91,0.81
161335,0.73,0.84,0.78,0.68,0.59,0.75,0.83,0.55
161336,0.81,0.89,0.71,0.73,0.64,0.81,0.92,0.84
161337,,,,,,,,
161338,0.81,0.75,0.75,0.77,0.66,0.82,0.86,0.73
161339,0.86,0.84,0.77,0.75,0.73,0.85,0.90,0.86
161340,,,,,,,,
161341,,,,,,,,
161342,,,,,,,,
161343,,,,,,,,
161344,0.82,0.82,0.69,0.76,0.63,0.74,0.85,0.75
161345,0.83,0.82,0.78,0.81,0.62,0.93,0.84,0.80
161346,0.80,0.83,0.71,0.74,0.63,0.70,0.87,0.80
161347,0.88,0.91,0.77,0.78,0.73,0.86,0.90,0.82
161348,0.92,0.90,0.85,0.78,0.82,0.91,0.95,0.80
161349,,,,,,,,
161350,0.86,0.87,0.73,0.78,0.80,0.96,0.88,0.83
161351,0.81,0.88,0.72,0.70,0.62,0.74,0.93,0.77
161352,0.79,0.83,0.79,0.74,0.63,0.82,0.87,0.75
161353,,,,,,,,
161354,,,,,,,,
161355,0.85,0.86,0.81,0.73,0.68,0.77,0.85,0.75
161356,0.75,0.80,0.57,0.58,0.59,0.73,0.82,0.63
161357,,,,,,,,
161358,,,,,,,,
161359,0.80,0.87,0.71,0.74,0.68,0.82,0.91,0.82
161360,0.87,0.92,0.79,0.77,0.67,0.85,0.89,0.91
161361,0.74,0.79,0.58,0.70,0.56,0.84,0.79,0.65
161362,,,,,,,,
161363,0.82,0.89,0.79,0.75,0.72,0.76,0.94,0.78
161364,0.88,0.86,0.76,0.74,0.67,0.88,0.84,0.87
161365,0.83,0.91,0.78,0.72,0.68,0.82,0.83,0.75
161366,0.76,0.82,0.62,0.61,0.63,0.61,0.85,0.62
161367,0.82,0.92,0.77,0.74,0.70,0.84,0.91,0.85
161368,0.83,0.85,0.73,0.75,0.63,0.87,0.87,0.79
161369,0.81,0.85,0.69,0.74,0.69,0.82,0.87,0.78
161370,,,,,,,,
161371,0.80,0.84,0.69,0.66,0.71,0.82,0.89,0.73
161372,0.79,0.86,0.68,0.69,0.62,0.77,0.88,0.72
161373,0.83,0.79,0.80,0.65,0.72,0.80,0.86,0.79
161374,0.81,0.88,0.62,0.61,0.63,0.74,0.92,0.76
161375,,,,,,,,
161376,0.82,0.83,0.72,0.71,0.72,0.78,0.90,0.76
161377,0.76,0.83,0.59,0.63,0.56,0.80,0.81,0.61
161378,,,,,,,,
161379,0.81,0.89,0.69,0.72,0.68,0.72,0.84,0.67
161380,,,,,,,,
161381,0.77,0.78,0.72,0.69,0.64,0.72,0.81,0.70
170001,0.81,0.84,0.70,0.73,0.68,0.77,0.87,0.67
170006,0.81,0.83,0.65,0.71,0.66,0.68,0.87,0.72
170009,0.80,0.83,0.81,0.71,0.61,0.69,0.83,0.73
170010,0.80,0.82,0.72,0.72,0.66,0.65,0.84,0.71
170012,0.79,0.82,0.64,0.69,0.63,0.75,0.89,0.75
170013,0.79,0.82,0.64,0.71,0.65,0.74,0.89,0.75
170014,0.82,0.87,0.71,0.72,0.66,0.80,0.85,0.73
170016,0.78,0.79,0.64,0.70,0.63,0.68,0.86,0.72
170017,0.79,0.86,0.71,0.70,0.61,0.75,0.84,0.78
170020,0.70,0.74,0.61,0.62,0.53,0.65,0.81,0.58
170023,0.75,0.80,0.61,0.68,0.61,0.77,0.83,0.68
170027,0.83,0.87,0.74,0.73,0.66,0.76,0.89,0.73
170039,0.73,0.85,0.72,0.68,0.59,0.69,0.80,0.60
170040,0.80,0.79,0.69,0.72,0.64,0.69,0.90,0.80
170049,0.79,0.82,0.66,0.71,0.63,0.69,0.90,0.76
170058,0.83,0.86,0.75,0.75,0.73,0.76,0.89,0.79
170068,0.78,0.83,0.64,0.69,0.63,0.72,0.89,0.70
170074,0.76,0.83,0.64,0.70,0.62,0.72,0.89,0.74
170075,0.84,0.94,0.79,0.66,0.66,0.90,0.87,0.89
170086,0.78,0.80,0.67,0.67,0.63,0.70,0.90,0.75
170094,0.85,0.91,0.73,0.72,0.67,0.80,0.86,0.80
170103,0.76,0.84,0.64,0.68,0.61,0.73,0.88,0.74
170104,0.83,0.81,0.69,0.73,0.67,0.82,0.89,0.82
170105,0.85,0.85,0.71,0.77,0.63,0.74,0.79,0.68
170109,0.86,0.87,0.79,0.77,0.72,0.77,0.89,0.79
170110,0.76,0.74,0.75,0.66,0.65,0.76,0.74,0.55
170120,0.79,0.85,0.72,0.70,0.61,0.73,0.89,0.71
170122,0.74,0.75,0.55,0.66,0.58,0.68,0.81,0.67
170123,0.72,0.79,0.56,0.67,0.55,0.66,0.85,0.68
170133,0.81,0.82,0.71,0.69,0.72,0.71,0.88,0.71
170137,0.79,0.82,0.64,0.68,0.65,0.72,0.90,0.75
170142,0.81,0.84,0.70,0.73,0.62,0.71,0.83,0.74
170145,0.79,0.81,0.61,0.75,0.65,0.73,0.84,0.68
170146,0.76,0.78,0.66,0.70,0.59,0.72,0.83,0.69
170150,0.80,0.88,0.67,0.68,0.63,0.73,0.89,0.73
170166,0.67,0.72,0.68,0.77,0.45,0.70,0.84,0.56
170175,0.70,0.78,0.59,0.66,0.56,0.66,0.79,0.59
170176,0.77,0.79,0.58,0.70,0.58,0.60,0.88,0.68
170182,0.72,0.78,0.58,0.68,0.58,0.63,0.88,0.68
170183,0.84,0.87,0.74,0.73,0.69,0.82,0.88,0.84
170185,0.75,0.78,0.66,0.63,0.63,0.67,0.89,0.75
170186,0.85,0.83,0.78,0.78,0.65,0.88,0.83,0.86
170187,0.91,0.87,0.89,0.80,0.72,0.83,0.89,0.92
